URL	LINE	DELETE OR NOT	
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/eve/scorpion/youhadme.eve.txt	now hate me forever while the chorus goes around		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/misc/r_and_b/love_rmx.fth.txt	chorus to end with puff daddy repeating		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/fat_joe/all_or/evgetup.fat.txt	but i'm richhhh timbaland bring in the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/fat_joe/don_cart/jhnblaze.fat.txt	chorus scratches by dj spinbad		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/fiend/street/4_reason.fie.txt	chorus now when i war i war for reason		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/flipmode/imperial/happens.flp.txt	chorus rampage and rah digga		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/flipmode/imperial/runcover.flp.txt	  -repeat second rampage chorus 2x-		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/fcutlass/bullshit/cypher_3.fct.txt	rawest chump to make the verse in the chorus pump		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gambinof/ghetto_o/perados.gam.txt	chorus my desperados we call 'em gambinos		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gambinof/ghetto_o/so_much.gam.txt	# with the chorus both people say it at the same time 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gambinof/ghetto_o/so_much.gam.txt	chorus til' song ends		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gngstarr/fullclip/fullclip.gsr.txt	chorus gang starr samples except where noted		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gza/wordfrom/livefoul.gza.txt	chorus you're living foul living foul		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gza/wordfrom/livefoul.gza.txt	chorus you're living foul living foul		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gza/wordfrom/livefoul.gza.txt	chorus of living foul you're living foul		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/gza/wordfrom/livefoul.gza.txt	chorus you're living foul		
